Datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Sub_metering_4,temperature,humidity,precipitation,cloud_cover,wind_speed,wind_direction,is_day,GHI,GTI
2022-01-02 00:00:00,1.8824667,0.10243333,240.96184,8.126667,0.0,28.0,0.0,1854.4667,18.5,82,0.0,13,7.3,70,0,0.0,0.0
2022-01-02 01:00:00,3.3494,0.13693333,240.44833,14.246667,0.0,1514.0,0.0,1835.4,18.4,80,0.0,0,5.4,48,0,0.0,0.0
2022-01-02 02:00:00,1.5872667,0.07823334,245.81866,6.8700004,0.0,34.0,0.0,1553.2666,18.0,79,0.0,0,5.9,43,0,0.0,0.0
2022-01-02 03:00:00,1.6622001,0.07953333,244.51349,7.2066665,0.0,46.0,0.0,1616.2,17.4,81,0.0,0,7.7,49,0,0.0,0.0
2022-01-02 04:00:00,2.2157667,0.09346667,243.8555,9.333333,0.0,34.0,533.0,1648.7666,17.0,81,0.0,0,7.3,57,0,0.0,0.0
2022-01-02 05:00:00,1.9967333,0.060233336,243.71017,8.566667,0.0,10.0,279.0,1707.7333,17.0,82,0.0,0,6.3,77,0,0.0,0.0
2022-01-02 06:00:00,1.3033,0.09483334,244.14151,5.5299997,0.0,43.0,0.0,1260.3,17.0,81,0.0,0,5.5,67,0,0.0,0.0
2022-01-02 07:00:00,1.6200333,0.059800003,241.84567,6.8033338,0.0,10.0,0.0,1610.0333,18.1,76,0.0,0,8.1,69,1,26.0,39.3
2022-01-02 08:00:00,1.8905666,0.11856666,241.31151,8.05,0.0,45.0,0.0,1845.5667,20.4,67,0.0,0,7.6,85,1,190.0,254.1
2022-01-02 09:00:00,2.5490668,0.07923333,238.84784,10.973333,0.0,439.0,0.0,2110.0667,22.4,65,0.0,2,7.6,93,1,398.0,493.6
2022-01-02 10:00:00,3.6288998,0.1946,235.441,15.533334,533.0,1341.0,969.0,785.9,24.0,62,0.0,6,8.6,105,1,566.0,676.6
2022-01-02 11:00:00,2.471,0.2007,236.92467,10.493333,567.0,301.0,1031.0,572.0,25.4,56,0.0,9,9.1,97,1,677.0,793.6
2022-01-02 12:00:00,1.9158666,0.29403335,237.78467,8.136667,0.0,32.0,1039.0,844.8667,26.5,50,0.0,14,9.5,81,1,740.0,863.6
2022-01-02 13:00:00,1.6607667,0.17153333,239.92067,6.923333,0.0,3.0,1057.0,600.76666,27.1,46,0.0,14,8.9,69,1,679.0,786.7
2022-01-02 14:00:00,2.0926332,0.2574,244.04567,8.6,0.0,20.0,1094.0,978.6333,27.3,44,0.0,7,9.7,59,1,635.0,749.3
2022-01-02 15:00:00,2.9854,0.0886,240.48082,12.426666,418.0,12.0,1062.0,1493.4,27.3,43,0.0,6,9.7,59,1,493.0,593.8
2022-01-02 16:00:00,3.3260334,0.09313333,236.78183,14.006667,515.0,4.0,1030.0,1777.0333,26.8,44,0.0,11,8.0,80,1,305.0,381.3
2022-01-02 17:00:00,3.4067667,0.16663334,234.22983,14.509999,0.0,28.0,1009.0,2369.7666,24.6,52,0.0,14,6.6,81,1,113.0,156.6
2022-01-02 18:00:00,3.6971002,0.13506667,234.37233,15.75,0.0,0.0,1010.0,2687.1,23.0,57,0.0,14,7.7,101,0,5.0,6.6
