time,temperature,humidity,precipitation,cloud_cover,wind_speed,wind_direction,is_day,GHI,GTI
2022-01-02 00:00:00,18.5,82,0.0,13,7.3,70,0,0.0,0.0
2022-01-02 01:00:00,18.4,80,0.0,0,5.4,48,0,0.0,0.0
2022-01-02 02:00:00,18.0,79,0.0,0,5.9,43,0,0.0,0.0
2022-01-02 03:00:00,17.4,81,0.0,0,7.7,49,0,0.0,0.0
2022-01-02 04:00:00,17.0,81,0.0,0,7.3,57,0,0.0,0.0
2022-01-02 05:00:00,17.0,82,0.0,0,6.3,77,0,0.0,0.0
2022-01-02 06:00:00,17.0,81,0.0,0,5.5,67,0,0.0,0.0
2022-01-02 07:00:00,18.1,76,0.0,0,8.1,69,1,26.0,39.3
2022-01-02 08:00:00,20.4,67,0.0,0,7.6,85,1,190.0,254.1
2022-01-02 09:00:00,22.4,65,0.0,2,7.6,93,1,398.0,493.6
2022-01-02 10:00:00,24.0,62,0.0,6,8.6,105,1,566.0,676.6
2022-01-02 11:00:00,25.4,56,0.0,9,9.1,97,1,677.0,793.6
2022-01-02 12:00:00,26.5,50,0.0,14,9.5,81,1,740.0,863.6
2022-01-02 13:00:00,27.1,46,0.0,14,8.9,69,1,679.0,786.7
2022-01-02 14:00:00,27.3,44,0.0,7,9.7,59,1,635.0,749.3
2022-01-02 15:00:00,27.3,43,0.0,6,9.7,59,1,493.0,593.8
2022-01-02 16:00:00,26.8,44,0.0,11,8.0,80,1,305.0,381.3
2022-01-02 17:00:00,24.6,52,0.0,14,6.6,81,1,113.0,156.6
2022-01-02 18:00:00,23.0,57,0.0,14,7.7,101,0,5.0,6.6
2022-01-02 19:00:00,22.1,61,0.0,12,7.6,87,0,0.0,0.0
2022-01-02 20:00:00,21.1,65,0.0,8,7.2,63,0,0.0,0.0
2022-01-02 21:00:00,20.2,69,0.0,3,7.7,53,0,0.0,0.0
2022-01-02 22:00:00,18.9,72,0.0,4,5.9,52,0,0.0,0.0
2022-01-02 23:00:00,18.0,75,0.0,0,7.2,53,0,0.0,0.0
2022-01-03 00:00:00,17.2,78,0.0,0,8.6,57,0,0.0,0.0
2022-01-03 01:00:00,17.9,74,0.0,0,7.4,51,0,0.0,0.0
2022-01-03 02:00:00,16.9,78,0.0,0,7.1,15,0,0.0,0.0
2022-01-03 03:00:00,15.7,83,0.0,0,9.0,23,0,0.0,0.0
2022-01-03 04:00:00,15.7,81,0.0,0,6.5,19,0,0.0,0.0
2022-01-03 05:00:00,15.3,84,0.0,0,8.0,27,0,0.0,0.0
2022-01-03 06:00:00,15.4,84,0.0,0,7.1,49,0,0.0,0.0
2022-01-03 07:00:00,16.7,78,0.0,0,8.0,82,1,27.0,40.3
2022-01-03 08:00:00,19.4,68,0.0,0,6.5,56,1,195.0,261.7
2022-01-03 09:00:00,22.0,59,0.0,0,8.9,69,1,404.0,502.3
2022-01-03 10:00:00,24.1,51,0.0,0,10.0,75,1,587.0,705.8
2022-01-03 11:00:00,25.6,43,0.0,0,8.5,78,1,717.0,848.5
2022-01-03 12:00:00,26.6,39,0.0,0,8.2,75,1,779.0,916.5
2022-01-03 13:00:00,27.3,37,0.0,0,7.8,68,1,767.0,903.3
2022-01-03 14:00:00,27.5,36,0.0,0,7.4,67,1,683.0,811.9
2022-01-03 15:00:00,27.3,36,0.0,0,7.3,70,1,535.0,649.6
2022-01-03 16:00:00,26.7,37,0.0,0,7.4,67,1,339.0,430.3
2022-01-03 17:00:00,24.5,48,0.0,0,5.1,86,1,130.0,185.5
2022-01-03 18:00:00,22.5,54,0.0,3,8.2,105,0,6.0,7.6
2022-01-03 19:00:00,21.4,57,0.0,4,6.8,90,0,0.0,0.0
2022-01-03 20:00:00,20.2,63,0.0,54,6.9,43,0,0.0,0.0
2022-01-03 21:00:00,19.4,67,0.0,0,7.8,34,0,0.0,0.0
2022-01-03 22:00:00,18.2,71,0.0,0,6.1,45,0,0.0,0.0
2022-01-03 23:00:00,17.4,74,0.0,0,6.6,41,0,0.0,0.0
2022-01-04 00:00:00,16.6,76,0.0,0,7.3,33,0,0.0,0.0
2022-01-04 01:00:00,16.2,77,0.0,0,7.6,5,0,0.0,0.0
2022-01-04 02:00:00,16.1,77,0.0,0,8.3,2,0,0.0,0.0
2022-01-04 03:00:00,15.4,79,0.0,0,8.0,355,0,0.0,0.0
2022-01-04 04:00:00,15.1,80,0.0,0,9.7,4,0,0.0,0.0
2022-01-04 05:00:00,15.5,79,0.0,0,8.4,10,0,0.0,0.0
2022-01-04 06:00:00,15.3,80,0.0,0,9.2,42,0,0.0,0.0
2022-01-04 07:00:00,16.7,74,0.0,0,8.3,95,1,26.0,39.3
2022-01-04 08:00:00,19.2,65,0.0,0,7.6,85,1,195.0,262.1
2022-01-04 09:00:00,21.7,58,0.0,0,10.2,80,1,406.0,504.7
2022-01-04 10:00:00,23.7,53,0.0,0,11.6,83,1,589.0,708.1
2022-01-04 11:00:00,25.1,47,0.0,0,10.5,82,1,718.0,849.2
2022-01-04 12:00:00,26.2,43,0.0,0,8.8,78,1,780.0,916.7
2022-01-04 13:00:00,26.9,39,0.0,0,8.5,78,1,768.0,903.9
2022-01-04 14:00:00,27.3,38,0.0,0,8.4,80,1,684.0,812.5
2022-01-04 15:00:00,27.1,37,0.0,0,9.4,88,1,536.0,649.8
2022-01-04 16:00:00,26.5,38,0.0,0,10.1,84,1,341.0,431.9
2022-01-04 17:00:00,24.2,50,0.0,0,7.6,82,1,132.0,187.3
2022-01-04 18:00:00,22.0,59,0.0,0,7.8,77,0,6.0,9.2
2022-01-04 19:00:00,21.3,63,0.0,0,8.6,88,0,0.0,0.0
2022-01-04 20:00:00,20.3,68,0.0,0,7.2,96,0,0.0,0.0
2022-01-04 21:00:00,19.1,74,0.0,0,6.4,128,0,0.0,0.0
2022-01-04 22:00:00,17.8,81,0.0,0,9.2,138,0,0.0,0.0
2022-01-04 23:00:00,18.9,75,0.0,0,6.0,73,0,0.0,0.0
2022-01-05 00:00:00,16.5,87,0.0,0,7.4,43,0,0.0,0.0
2022-01-05 01:00:00,16.3,88,0.0,0,7.2,18,0,0.0,0.0
2022-01-05 02:00:00,18.1,77,0.0,1,4.7,58,0,0.0,0.0
2022-01-05 03:00:00,15.7,90,0.0,0,6.3,149,0,0.0,0.0
2022-01-05 04:00:00,15.3,90,0.0,0,8.2,151,0,0.0,0.0
2022-01-05 05:00:00,15.4,92,0.0,0,7.1,131,0,0.0,0.0
2022-01-05 06:00:00,15.6,92,0.0,98,6.6,135,0,0.0,0.0
2022-01-05 07:00:00,16.4,91,0.0,0,5.4,160,1,26.0,38.1
2022-01-05 08:00:00,19.4,81,0.0,48,4.8,153,1,195.0,262.0
2022-01-05 09:00:00,22.3,69,0.0,51,5.7,145,1,407.0,506.3
2022-01-05 10:00:00,24.4,58,0.0,55,6.4,137,1,587.0,705.7
2022-01-05 11:00:00,25.9,50,0.0,43,6.4,128,1,709.0,836.5
2022-01-05 12:00:00,27.0,46,0.0,23,7.4,119,1,772.0,906.5
2022-01-05 13:00:00,27.5,44,0.0,32,9.0,113,1,760.0,892.6
2022-01-05 14:00:00,27.6,43,0.0,5,10.4,110,1,669.0,790.9
2022-01-05 15:00:00,27.3,43,0.0,87,11.3,112,1,529.0,639.1
